line,station,N,x,y,z
Hammersmith & City,Hammersmith,0.18,-0.22239962,51.4925678,-0.6
Metropolitan,Aldgate,0.18,-0.075615498,51.51427014,-7.2
Metropolitan,Barbican,0.18,-0.097710127,51.52014301,-8.6
Piccadilly,Hounslow East,0.18,-0.356691315,51.47316965,5.8
Piccadilly,Osterley,0.18,-0.35199126,51.48092702,-5.8
Circle,Sloane Square,0.17,-0.156491715,51.49228762,-8.4
Hammersmith & City,Barking,0.17,0.080857192,51.53944886,-2.6
Hammersmith & City,East Ham,0.17,0.051472969,51.53892328,-5.3
Metropolitan,Moorgate,0.17,-0.089006251,51.51836488,-5.5
Piccadilly,Turnham Green,0.17,-0.254527269,51.49510964,5.9
Piccadilly,Hounslow Central,0.17,-0.366917151,51.47108242,4.9
Piccadilly,South Ealing,0.17,-0.307021721,51.5013645,-3.7
Piccadilly,Oakwood,0.17,-0.131841268,51.64758361,-6.2
Circle,Farringdon,0.16,-0.105063422,51.52044189,-4.5
Circle,Liverpool Street,0.16,-0.082966301,51.51734907,-6.6
Piccadilly,Northfields,0.16,-0.314158805,51.49927317,-4.7
Central,White City,0.15,-0.224252788,51.51197455,-2
Northern,Mill Hill East,0.15,-0.209897789,51.60826239,5.8
Central,Leyton,0.13,-0.005616194,51.55643622,-5
Central,Hanger Lane,0.13,-0.293012861,51.53000886,-8.1
Circle,Moorgate,0.13,-0.089006251,51.51836488,-5.5
Circle,Barbican,0.13,-0.097710127,51.52014301,-8.6
Central,Perivale,0.12,-0.32385409,51.53659529,6.6
District,Gloucester Road,0.12,-0.182992032,51.49423894,-7.05
Docklands Light Railway,Shadwell,0.12,-0.056907823,51.51122794,
Jubilee,West Hampstead,0.12,-0.190753254,51.54670392,-5.5
Piccadilly,Cockfosters,0.12,-0.14961238,51.65168673,-4
Circle,Edgware Road Circle,0.11,-0.167671457,51.5199169,-5.2
Circle,South Kensington,0.11,-0.173925853,51.4939992,-7.03
Central,South Ruislip,0.1,-0.398652991,51.55651467,4.4
Docklands Light Railway,Cutty Sark,0.1,-0.010851826,51.48169725,-4.8
Docklands Light Railway,Greenwich,0.1,-0.014205715,51.47776134,
Docklands Light Railway,King George V,0.1,0.062778013,51.501972,
Central,Greenford,0.09,-0.346443825,51.54230221,10.2
Central,East Acton,0.09,-0.247509175,51.51657774,5.9
Central,Northolt,0.09,-0.368457212,51.54814959,-5.2
Central,North Acton,0.09,-0.25973188,51.5233691,-8.6
Circle,Paddington,0.09,-0.175394252,51.51530725,-6.2
District,Earl's Court,0.09,-0.193547042,51.49180317,-5.8
Central,Ruislip Gardens,0.08,-0.411032255,51.56058554,4.5
Circle,Gloucester Road,0.08,-0.182992032,51.49423894,-7.05
Docklands Light Railway,Mudchute,0.08,-0.015084133,51.49036598,
Jubilee,West Ham,0.08,0.005042725,51.52817952,0.2
Metropolitan,Harrow on the Hill,0.08,-0.33701819,51.57932487,-1.9
Central,Barkingside,0.07,0.088517069,51.5857871,0.5
Circle,Royal Oak,0.07,-0.188232959,51.51901332,-6
District,Upminster,0.07,0.251089517,51.55888666,-8.8
Docklands Light Railway,Deptford Bridge,0.07,-0.02155653,51.47428853,2.4
Docklands Light Railway,Island Gardens,0.07,-0.009482923,51.48667396,
Docklands Light Railway,London City Airport,0.07,0.048889013,51.503611,
Docklands Light Railway,Woolwich Arsenal,0.07,0.069000013,51.49,
Jubilee,Kilburn,0.07,-0.204635151,51.5468812,7.2
Metropolitan,North Harrow,0.07,-0.362222848,51.58479585,6
Metropolitan,Northwick Park,0.07,-0.318210783,51.57858927,1.9
Metropolitan,Pinner,0.07,-0.380917253,51.5928604,-0.5
Metropolitan,Finchley Road,0.07,-0.180498777,51.5470669,-3.3
Metropolitan,Wembley Park,0.07,-0.279244881,51.5632591,-4.3
Central,West Acton,0.06,-0.280999472,51.51786464,-5.6
Circle,High Street Kensington,0.06,-0.192504807,51.50067168,-5.7
Circle,Bayswater,0.06,-0.188040922,51.51223005,-7.04
District,West Ham,0.06,0.005042725,51.52817952,3.7
District,West Kensington,0.06,-0.206476757,51.4904909,-5.65
Docklands Light Railway,Pontoon Dock,0.06,0.031944013,51.502222,
Jubilee,Queensbury,0.06,-0.285779732,51.59435105,3.2
Jubilee,Kingsbury,0.06,-0.27879386,51.584753,-4.7
Jubilee,Willesden Green,0.06,-0.222410011,51.54931002,-5.7
Jubilee,Neasden,0.06,-0.249779765,51.55396588,-5.8
Metropolitan,Ruislip Manor,0.06,-0.412339126,51.57318324,5.6
Metropolitan,West Harrow,0.06,-0.352921097,51.57977393,4.5
Metropolitan,Moor Park,0.06,-0.432659835,51.62972876,4.5
Metropolitan,Hillingdon,0.06,-0.449928914,51.55371425,0.7
Metropolitan,Uxbridge,0.06,-0.478138537,51.54649417,0.1
Metropolitan,Ruislip,0.06,-0.421461708,51.57144492,-0.4
Metropolitan,Chorleywood,0.06,-0.518364234,51.65422051,-0.7
Metropolitan,Chalfont & Latimer,0.06,-0.560528902,51.66802586,-1.3
Metropolitan,Ickenham,0.06,-0.442030425,51.56198132,-4.9
Metropolitan,Eastcote,0.06,-0.39683957,51.57649745,-4.9
Metropolitan,Watford,0.06,-0.417276217,51.65742467,-5.2
Metropolitan,Northwood,0.06,-0.423854038,51.61115919,-5.4
Metropolitan,Northwood Hills,0.06,-0.409293119,51.60049601,-6
